t_rel_s,f0,f1,f2,tag
0.000000,-0.100000,-0.090000,-0.070000,PRE
0.499731,-0.090000,-0.090000,-0.070000,PRE
0.999902,-0.100000,-0.090000,-0.070000,PRE
1.499860,-0.100000,-0.160000,-0.070000,PRE
1.999990,-0.100000,-0.190000,-0.070000,PRE
1.999990,-0.100000,-0.190000,-0.070000,CONTACT
2.500744,-0.100000,-0.230000,-0.140000,HOLD
3.000292,-0.170000,-0.270000,-0.160000,HOLD
3.499998,-0.170000,-0.270000,-0.160000,HOLD
3.999681,-0.170000,-0.270000,-0.160000,HOLD
4.500805,-0.170000,-0.270000,-0.160000,HOLD
5.000013,-0.170000,-0.270000,-0.160000,HOLD
