t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.499692,0.000000,0.000000,0.000000,PRE
0.999298,0.000000,0.000000,0.000000,PRE
1.499503,0.000000,-0.090000,0.000000,PRE
1.999590,-0.170000,-0.250000,-0.190000,PRE
1.999590,-0.170000,-0.250000,-0.190000,CONTACT
2.499228,-0.170000,-0.250000,-0.190000,HOLD
2.999546,-0.170000,-0.250000,-0.190000,HOLD
3.500120,-0.170000,-0.260000,-0.180000,HOLD
4.000263,-0.170000,-0.250000,-0.190000,HOLD
4.499694,-0.170000,-0.250000,-0.180000,HOLD
4.999730,-0.170000,-0.250000,-0.190000,HOLD
5.499990,-0.100000,-0.150000,-0.080000,HOLD
5.999303,-0.090000,-0.090000,-0.090000,HOLD
5.999303,-0.090000,-0.090000,-0.090000,DETACH
6.499902,-0.100000,-0.090000,-0.090000,POST
6.999596,-0.100000,-0.090000,-0.090000,POST
7.500298,-0.100000,-0.090000,-0.090000,POST
7.999588,-0.100000,-0.090000,-0.080000,POST
